0.05,1752.29,5
0.04,1614.20,5
0.04,1660.65,5
0.03,1529.81,5
0.04,1611.62,5
0.03,1540.73,7
0.05,1674.17,7
0.04,1557.58,7
0.03,1547.40,7
0.05,1705.56,7
0.04,1587.19,9
0.03,1539.78,9
0.03,1504.36,9
0.03,1551.62,9
0.03,1529.59,9
0.03,1531.78,11
0.03,1541.02,11
0.03,1534.96,11
0.04,1651.21,11
0.03,1547.73,11
0.03,1507.28,13
0.03,1556.71,13
0.04,1598.32,13
0.03,1576.36,13
0.03,1493.65,13
0.02,1509.37,15
0.03,1539.52,15
0.02,1460.00,15
0.03,1555.73,15
0.02,1489.35,15
0.14,2375.12,5
0.14,2162.11,5
0.15,2339.84,5
0.15,2524.36,5
0.16,362.93,5
0.16,716.78,7
0.16,2444.36,7
0.15,257.08,7
0.15,356.38,7
0.15,2684.44,7
0.18,2703.88,9
0.13,2183.05,9
0.13,2021.30,9
0.15,2626.60,9
0.13,2210.28,9
0.16,2464.89,11
0.13,2270.99,11
0.14,2592.48,11
0.16,2724.66,11
0.13,2235.68,11
0.12,2317.37,13
0.13,2297.62,13
0.14,2362.68,13
0.13,2132.34,13
0.15,2539.81,13
0.15,2523.53,15
0.13,2275.71,15
0.12,2361.84,15
0.16,2626.68,15
0.12,2240.69,15
0.24,1475.19,5
0.25,3344.24,5
0.22,1193.75,5
0.28,1512.27,5
0.23,2897.24,5
0.24,2742.63,7
0.26,632.20,7
0.24,2843.51,7
0.23,3281.00,7
0.27,3065.25,7
0.26,3124.71,9
0.24,2941.33,9
0.26,3369.94,9
0.24,3249.82,9
0.28,577.76,9
0.23,3007.40,11
0.22,3031.77,11
0.26,3265.14,11
0.25,3220.29,11
0.23,2902.94,11
0.28,3390.07,13
0.23,3180.63,13
0.24,3096.60,13
0.23,2870.73,13
0.23,2934.26,13
0.25,3414.73,15
0.25,3364.94,15
0.22,2864.06,15
0.23,3025.35,15
0.23,3270.23,15
0.38,1784.96,5
0.35,3777.27,5
0.35,3800.44,5
0.35,3695.66,5
0.34,3694.94,5
0.36,776.20,7
0.36,3902.18,7
0.33,3504.88,7
0.35,3729.07,7
0.33,3591.68,7
0.34,3823.68,9
0.34,3498.96,9
0.35,3601.06,9
0.34,3891.31,9
0.34,3776.12,9
0.36,4029.05,11
0.35,3840.36,11
0.34,3768.59,11
0.34,3920.89,11
0.33,3926.17,11
0.35,4232.05,13
0.32,3883.57,13
0.36,4008.68,13
0.35,3855.58,13
0.37,4270.15,13
0.33,3866.74,15
0.32,3842.53,15
0.34,3743.16,15
0.33,3798.56,15
0.32,3509.22,15
0.46,4646.69,5
0.46,3894.02,5
0.43,382.39,5
0.43,2027.54,5
0.48,4803.47,5
0.47,4192.82,7
0.45,4353.04,7
0.45,4755.24,7
0.44,4667.41,7
0.45,4161.33,7
0.44,4460.55,9
0.44,4270.30,9
0.44,1044.21,9
0.44,4855.51,9
0.44,4138.17,9
0.44,4531.59,11
0.45,4533.81,11
0.46,4782.30,11
0.43,4344.37,11
0.45,4670.06,11
0.45,4536.08,13
0.44,4733.23,13
0.43,4214.91,13
0.42,2354.51,13
0.45,4731.92,13
0.45,4103.24,15
0.44,4779.39,15
0.44,4768.62,15
0.43,4463.44,15
0.45,4995.38,15
0.57,5322.43,5
0.57,201.75,5
0.54,5102.09,5
0.55,4795.63,5
0.55,2341.26,5
0.54,1056.84,7
0.56,5242.43,7
0.53,4716.21,7
0.54,4860.23,7
0.56,1051.06,7
0.56,5518.99,9
0.57,5410.00,9
0.56,5638.93,9
0.55,5383.88,9
0.54,5150.49,9
0.56,5254.84,11
0.52,5044.94,11
0.53,5233.04,11
0.53,4901.19,11
0.54,5145.65,11
0.53,5012.38,13
0.55,5262.33,13
0.55,5502.74,13
0.55,5458.72,13
0.53,5157.32,13
0.54,5499.08,15
0.55,5586.34,15
0.54,5415.88,15
0.53,5476.40,15
0.52,5252.06,15
0.67,5398.63,5
0.67,4817.69,5
0.63,2357.83,5
0.65,5266.73,5
0.65,5452.12,5
0.63,4933.96,7
0.66,1276.81,7
0.65,1173.50,7
0.64,5346.14,7
0.63,5907.89,7
0.62,5687.10,9
0.66,5725.93,9
0.67,5821.23,9
0.66,5846.99,9
0.67,1192.94,9
0.63,5592.57,11
0.64,5922.48,11
0.68,6170.59,11
0.63,5883.46,11
0.65,5940.78,11
0.62,5813.43,13
0.64,5284.18,13
0.64,6088.30,13
0.67,5691.13,13
0.66,5580.50,13
0.66,6510.48,15
0.63,5438.14,15
0.62,6003.41,15
0.67,5640.62,15
0.63,6039.09,15
0.78,939.66,5
