n=120, m=8, U=3.406152, f=0.03, E=9749.56
n=120, m=8, U=3.553881, f=0.03, E=10199.16
n=120, m=8, U=3.541081, f=0.03, E=10148.03
n=120, m=8, U=3.414981, f=0.03, E=9951.65
n=120, m=8, U=3.821281, f=0.03, E=10894.83
n=120, m=8, U=3.725088, f=0.03, E=10590.92
n=88, m=8, U=3.729649, f=0.04, E=10114.81
n=88, m=8, U=3.798070, f=0.04, E=10491.84
n=88, m=8, U=3.514950, f=0.04, E=9744.12
n=88, m=8, U=3.566295, f=0.04, E=10002.20
n=88, m=8, U=3.630511, f=0.04, E=10038.10
n=88, m=8, U=3.747660, f=0.04, E=10189.50
n=88, m=8, U=3.712021, f=0.04, E=10264.84
n=88, m=8, U=3.595128, f=0.04, E=9991.43
n=88, m=8, U=3.568631, f=0.04, E=10030.64
n=88, m=8, U=3.436856, f=0.04, E=9644.59
n=104, m=8, U=3.812957, f=0.04, E=11068.58
n=104, m=8, U=3.832401, f=0.04, E=10874.32
n=104, m=8, U=3.654194, f=0.04, E=10246.44
n=104, m=8, U=3.505509, f=0.04, E=9934.66
n=104, m=8, U=3.695925, f=0.04, E=10531.61
n=104, m=8, U=3.792596, f=0.04, E=10522.28
n=104, m=8, U=3.557875, f=0.04, E=10060.43
n=104, m=8, U=3.497762, f=0.04, E=9595.56
n=104, m=8, U=3.451780, f=0.04, E=9547.14
n=104, m=8, U=3.806239, f=0.04, E=10885.09
n=120, m=8, U=3.481392, f=0.04, E=10104.38
n=120, m=8, U=3.653316, f=0.04, E=10396.48
n=120, m=8, U=3.576147, f=0.04, E=10259.12
n=120, m=8, U=3.547443, f=0.04, E=10191.48
n=120, m=8, U=3.742821, f=0.04, E=10654.39
n=120, m=8, U=3.569641, f=0.04, E=10495.40
n=120, m=8, U=3.553461, f=0.04, E=10242.38
n=120, m=8, U=3.688950, f=0.04, E=10509.76
n=120, m=8, U=3.565693, f=0.04, E=10117.06
n=120, m=8, U=3.646205, f=0.04, E=10393.95
n=88, m=8, U=3.728124, f=0.05, E=10333.13
